sa2_code21,sa4_name21,z_business,z_stops,z_poi,z_schools,z_total,score
116011303,Sydney - Blacktown,0.6235994112894828,0.9287015317489128,0.5164048712787379,2.01062954051102,4.079335354828154,0.9833627735045203
116011304,Sydney - Blacktown,-0.6708132461776628,1.0041494191398175,-0.16718143314779285,0.7379057048486288,0.9040604446629905,0.7117832099947038
116011306,Sydney - Blacktown,-0.8317556841623058,0.840678996459524,-0.21845040597978269,-0.3293169355826069,-0.5388440292651713,0.3684565314686932
116011307,Sydney - Blacktown,-0.09296427583437093,2.3999353358715525,1.0461842572092992,-0.058797074032131226,3.29435824321435,0.9642347573545615
116011560,Sydney - Blacktown,-0.6660707358153223,-0.9071970614297661,-0.6115125310250379,-0.48715443756313087,-2.671934765833257,0.06464987420623561
116011561,Sydney - Blacktown,-0.7089456449096632,0.3125437847231918,-0.4406159549184052,-0.20583048793865144,-1.042848303043528,0.2606007859289973
116011626,Sydney - Blacktown,-0.4047602071470872,-0.4167857933888861,0.6873014473853707,1.5130810148913518,1.3788364617407491,0.7988040658956487
116011627,Sydney - Blacktown,-0.5077355738485385,-0.6431294555616,-0.45770561252906844,-0.9246118544759027,-2.5331824964151095,0.07356445622092245
116021309,Sydney - Blacktown,-0.4342940798489888,-0.3413379059979815,-0.3893469820864154,0.3383298245158709,-0.8266491434175147,0.3043540569997689
116021562,Sydney - Blacktown,-0.6322187991275051,-1.4479069210645823,-1.2950988354515687,3.2433916619579284,-0.131832893685728,0.46708942801401027
116021563,Sydney - Blacktown,-0.7575605061228826,0.6269099821852944,-0.5431539005823848,-0.21714239954592385,-0.890946824065897,0.29091447483604427
116021628,Sydney - Blacktown,-0.570846495809664,-0.7940252303434091,-0.5260642429717215,-0.568927215281808,-2.459863184406603,0.07872025892789045
116021629,Sydney - Blacktown,-0.645288441566207,-0.8317491740388615,-0.6115125310250379,0.0018973606792125452,-2.0866527859508937,0.11040088427328427
116021630,Sydney - Blacktown,-0.3657394744788352,0.5388874468959056,0.07207377340149293,-0.15789909115874734,0.08732265465981602,0.5218168022194549
116021631,Sydney - Blacktown,-0.720087484717552,-1.146115371500964,-0.9191263680169768,1.7897900651116807,-0.9955391591238121,0.26981937938764733
116021632,Sydney - Blacktown,-0.6982184505793907,0.09877477044896207,-0.28680903642243577,-0.933591722726064,-1.8198444392789284,0.1394525400612747
116021633,Sydney - Blacktown,-0.6122724928047567,-1.032943540414607,-0.7653194495210073,0.44536478397199997,-1.9651706987683712,0.12290854797341655
116031313,Sydney - Blacktown,-1.072582317122892,1.0041494191398175,0.34550829517210524,-0.21246103204813122,0.0646143651408993,0.5161479735052269
116031314,Sydney - Blacktown,-0.46467253713560486,-0.6934280471555363,-0.9191263680169768,2.9375850087173965,0.8603580564092786,0.7027354571614464
116031315,Sydney - Blacktown,-0.8835965542209274,0.2873944889262236,-0.30389869403309905,-0.03916063927257883,-0.9392613986003817,0.28104956076533905
116031316,Sydney - Blacktown,-1.1441597851150254,1.3185156166019198,0.2600600071187889,-0.677114197599782,-0.24269835899409853,0.4396214901083169
116031317,Sydney - Blacktown,-0.6806916922499096,1.1173212502261742,0.41386692561475835,-1.0075454458224535,-0.1570489622314305,0.46081825912426044
116031319,Sydney - Blacktown,-0.6763969145675018,1.708329701454927,0.772749735438687,-0.8010455073968544,1.0036370149292577,0.7317730579565399
118011339,Sydney - Eastern Suburbs,0.12396946309042506,-0.655704103460084,-0.6969608190783543,-1.0034778318462312,-2.2321732912942447,0.09689829172887619
118011340,Sydney - Eastern Suburbs,0.2973883074708021,-0.7311519908509886,-0.6115125310250379,-1.094951244000778,-2.1402274584060024,0.10524796765158319
118011341,Sydney - Eastern Suburbs,1.9292614570001518,-0.12756889172375177,-0.5431539005823848,-0.07615134614591021,1.182387318548105,0.7653767784554574
118011344,Sydney - Eastern Suburbs,0.2763821081607625,-0.8820477656327979,-0.9191263680169768,-1.0920913229102203,-2.616883348399232,0.06805970933990584
118011345,Sydney - Eastern Suburbs,0.6243426059307302,-0.6682787513585682,0.3967772680040951,0.15343509963171792,0.5062762222079751,0.6239331291469397
118011346,Sydney - Eastern Suburbs,0.5870561517560241,0.46343955950500104,0.5334945288894012,-0.9159211522244807,0.6680690879259458,0.6610706609467366
118011347,Sydney - Eastern Suburbs,0.8759587536088816,-1.271861850485805,-0.9191263680169768,1.689639682326512,0.374610217432612,0.5925724980158646
118011649,Sydney - Eastern Suburbs,0.43038488034746575,0.06105082675350977,-0.3893469820864154,-0.6046225419963405,-0.5025338169817803,0.37694539742634503
118011650,Sydney - Eastern Suburbs,2.653864895722201,-1.007794244617639,-0.5773332158037113,1.6076718391194222,2.6764092744202728,0.9356201740285166
118021564,Sydney - Eastern Suburbs,-0.5295188793547364,-1.020368892516123,-0.6627815038570277,-0.26411892268373194,-2.476788198411619,0.07750151862265048
118021565,Sydney - Eastern Suburbs,-0.4822117984251726,-0.8191745261403773,-0.679871161467691,-1.0134774736875227,-2.9947349597207635,0.04766429768287799
118021566,Sydney - Eastern Suburbs,0.09507657480640752,-1.032943540414607,-0.6969608190783543,-0.6011904310654966,-2.2360182157520505,0.09656234727802557
118021567,Sydney - Eastern Suburbs,-0.40027370888355823,-0.404211145490402,-0.7140504766890176,-0.13452394831286357,-1.6530592793758414,0.16069590778016238
118021568,Sydney - Eastern Suburbs,-0.3151663861779422,-1.13354072360248,-0.7653194495210073,0.00805606067198125,-2.205970498629448,0.09921561614724686
