table_schema,table_name,column_name
raw,sa2_all,sa2_code21
raw,businesses,sa2_code
raw,businesses,industry_name
raw,population,sa2_code
raw,income,sa2_code21
raw,stops,stop_id
raw,catchments_primary,catchment_id
raw,catchments_secondary,catchment_id
raw,sa2_my,sa2_code21
raw,businesses_my,sa2_code21
raw,businesses_my,industry_name
raw,population_my,sa2_code21
raw,income_my,sa2_code21
raw,stops_my,stop_id
raw,catchments_primary_my,id
raw,catchments_secondary_my,id
analysis,sa2_scores,sa2_code21
